Date,Headline
2022-06-04,Biden: Sanctions to stifle Russian growth for years; U.S. continues to help Ukraine
2022-06-04,"Boeing taps Amazon, Microsoft, Google for cloud mega-deal - Bloomberg"
2022-05-04,Amazon announces up to 83 satellite launches for Project Kuiper
2022-04-04,Online retail stocks outperform as investors bank on resilient consumer spending
2022-04-04,Amazon watch: Putting a number to the unionization push
2022-03-04,"Netflix's 'Inventing Anna' leads streaming for third week, while Disney's 'Encanto' sings on"
2022-01-04,Amazon workers at Staten Island warehouse vote to unionize (updated)
2022-01-04,First union victory at Amazon may come at Staten Island warehouse
2022-03-30,Apple starts allowing some apps to link outside App Store for sign-up
2022-03-30,"Apple, Microsoft and Amazon among Time's 100 most-influential companies"
2022-03-29,Kid-friendly Amazon Glow device launched for all U.S. customers (update)
2022-03-29,Pentagon to delay massive cloud computing contract to December
2022-03-29,Snowflake rises for second day after unveiling data cloud for retail
2022-03-29,"Apple, Google, Amazon face rising scrutiny as DOJ supports antitrust bill: report"
2022-03-25,Amazon Prime Video launching Bond-themed competition show
2022-03-25,"Apple, Meta among tech titans facing landmark European regulation"
2022-03-24,"Cook, Nadella, Jassy make the cut, Zuckerberg & Musk don?t in new ?Return on Character? ETF"
2022-03-24,"Gates, Bezos backed KoBold to begin drilling for metals in Greenland"
2022-03-21,"Apple services, including Apple Music, Apple TV+, restored after lengthy outage"
2022-03-20,"Gaming, other streamers make up ground in Nielsen TV share measure"
2022-03-20,"SA readers grab Amazon, Apple and oil-related names"
2022-03-18,Inventing Anna' puts Netflix back atop streaming charts
2022-03-18,MongoDB upgraded at UBS as firm says advantages over rivals are widening
2022-03-17,Amazon closes $8.5 billion purchase of MGM Studios
2022-03-15,SLING TV arrives on Amazon's Echo Show 15
2022-03-15,Amazon's MGM purchase wins European approval
2022-03-15,Amazon battles retail giants in India
2022-12-03,Tech Roundup: Apple's new products and Chinese tech losses grab investors attention
2022-11-03,Amazon's 'Reacher' unseats Netflix from top of streaming ratings
2022-11-03,"Etsy, Overstock, Wayfair headline big drop in e-commerce stocks as consumer sentiment shows signs of cracking"
2022-11-03,Amazon lands buy rating from Deutsche Bank on expectation for strong revenue growth
2022-10-03,After Amazon these 20 companies could follow a stock split wave
2022-10-03,"Hot Stocks: AMZN stock split; MQ rises on earnings; FOSL, BBW drop"
2022-10-03,Amazon's stock split and buybacks are called a positive signal on Wall Street
2022-09-03,"Amazon jumps 10% on 20-for-1 share split, $10 billion buyback"
2022-09-03,"Amazon suspends shipments to Russia, cuts off Prime Video"
2022-09-03,Europe set to unconditionally clear Amazon's $8.5 billion MGM studio buy - Reuters
2022-09-03,Amazon could be probed for criminal obstruction of Congress
2022-08-03,"Amazon says AWS no longer accepting new customers in Russia, Belarus"
2022-08-03,Amazon launches Amp app to let users play DJ on their own 'radio' shows
2022-08-03,"Google's deal for Mandiant 'shot across the bow' to Microsoft, Amazon: Wedbush"
2022-06-03,"Netflix's 'Ozark' leads streaming again, though Amazon makes a 'Reacher' push"
2022-03-03,Amazon moves to press for FTC decision on $8.5 billion MGM Studios deal
2022-02-03,MGM/Amazon deal said sent to FTC front office
2022-02-03,Amazon is expected to close its bookstores and some other brick-and-mortar outlets
2022-01-03,MGM/Amazon deal said to see EC state of play meeting today
2022-01-03,"Russia charges Meta, Google with 'inciting' war as social-media friction grows"
2022-02-28,FTC said to prepare possible challenge of Amazon's purchase of MGM Studios
2022-02-28,"High-quality tech can survive 'witch's brew' of Russia, Fed risks - Evercore analyst"
2022-02-28,Trend of leveraged single stock ETFs gets new player in GraniteShares
2022-02-28,Teladoc spikes on partnership with Amazon for virtual care on Alexa
2022-02-28,MWC 2022: 'Connectivity unleashed' key theme at Mobile World Congress
2022-02-27,Netflix's 'Ozark' dominates to lead more streaming ratings wins
2022-02-25,"Apple, Amazon take lead over ESPN in NFL Sunday Ticket bidding - report"
2022-02-23,Facebook parent Meta details next-gen AI investments in event
2022-02-23,"1Life Healthcare GAAP EPS of -$0.50 beats by $0.04, revenue of $230.21M beats by $11.45M"
2022-02-23,Is Amazon stock a buy as it tries to regain its mojo in a post-pandemic world?
2022-02-23,"S&P 500 is in a correction: history favors bulls, but bears have the Fed"
2022-02-22,1Life Healthcare Q4 2021 Earnings Preview
2022-02-21,Growth stocks rule in Goldman screen of biggest retail investor buys and sells
2022-02-20,New 'Ozark' episodes make a splash atop streaming charts for Netflix
2022-02-18,Leveraged and inverse mega-cap ETFs are on the way thanks to Direxion Funds
2022-02-17,Amazon teams up with Barclays for installment payments in the U.K.
2022-02-17,"Amazon, Visa resolve spat over credit card swipe fees"
2022-02-16,"Amazon has $1 trillion of untapped value, Third Point's Dan Loeb is said to argue"
2022-02-16,Elastic resolves trademark infringement lawsuit with Amazon
2022-02-16,Online retail stocks slide after Shopify warns pandemic benefits are fading
2022-02-15,"Greenview Capital takes stakes in Alibaba, Amazon"
2022-02-15,Lone Pine Capital takes new positions in Mastercard & Visa
2022-02-14,"Melvin Capital takes new stake in Uber; exits Mastercard, Activision Blizzard"
2022-02-14,"Amazon, Spotify said to evaluate bids for London-listed podcaster Audioboom"
2022-02-13,"SA readers turn to megacaps Meta, Amazon and Alphabet; pull out of Aurora Cannabis"
2022-12-02,"Crypto, EVs and sports betting could be this year's Super Bowl stars"
2022-11-02,Amazon's $8.5 billion MGM pursuit taking more time for antitrust look - report
2022-11-02,"Affirm stock drops 8% more as fiscal Q2 earnings, year outlook fail to impress"
2022-10-02,Kohl's gains amid board and M&A intrigue (update)
2022-09-02,"Lord of the Rings', 'Hobbit' media rights going on block - Variety"
2022-09-02,"Bill Miller sees decisive shift towards value; likes Meta, Amazon, Alibaba and crypto"
2022-09-02,Key ad-tech reports likely to impress after big tech shows market's holding up - Macquarie
2022-08-02,Telehealth providers slip as Amazon Care goes nationwide
2022-08-02,"Netflix leads Oscar-nominated studios for third year, led by 'Power of the Dog'"
2022-07-02,Velodyne Lidar surges after Amazon pact with sensor maker
2022-07-02,Amazon to more than double its base pay cap to $350K: report
2022-07-02,"Amazon buying Peloton would give it several benefits, including Prime boost: Truist"
2022-06-02,Apple is called a favorite to bid for Peloton Interactive
2022-06-02,Cobra Kai' leads again in third-biggest streaming week ever
2022-06-02,Wells Fargo lists 25 big-name stocks to hedge against fund favorites
2022-04-02,"Peloton jumps 40% as suitors including Amazon, Nike circle company (update)"
2022-04-02,Why did Amazon stock surge today? AWS strength and Prime price hike
2022-04-02,Bitcoin Strategy ETFs surge as Bitcoin tops $40K
2022-04-02,"Catalyst Watch for next week: Eyes on Uber, Hertz, Amgen, Peloton and AMD"
2022-04-02,"Hot Stocks: AMZN, PINS, BILL soar on earnings news; F, APD drop"
2022-04-02,Credit Suisse 'Top of the Crop' list dwindles to four as Disney lasts just a month
2022-04-02,"Amazon posts big rally after earnings and helps lift Shopify, Wayfair and Etsy"
2022-03-02,"Amazon soars after announcing Prime price hike, topping operating income expectations"
2022-03-02,"Amazon EPS of $27.75, revenue of $137.4B misses by $230M"
2022-03-02,"Amazon confirms stakes in Rivian, Aurora Innovation, Air Transport Services and Vital Farms"
2022-03-02,Amazon slides ahead of earnings but a wildcard could be in the mix
2022-02-02,MusclePharm expands distribution channel with Amazon tie-up for energy drink line
2022-02-02,Amazon Q4 Earnings Expected to Decline?
2022-01-31,"Fiverr, Coupang and ThredUp lead big rally in e-commerce stocks ahead of Amazon earnings later in the week"
2022-01-28,Cobra Kai' tops 'Encanto' in heavy holiday streaming week
2022-01-28,"Catalyst watch for next week: MicroStrategy event, AMD earnings and OPEC meeting"
2022-01-27,DouYu jumps on report that Tencent wants to take streaming co. private this year
2022-01-26,Amazon backs House Republican bill that ends federal ban on cannabis
2022-01-25,Amazon might be one of the biggest wildcards in the electric vehicle industry
2022-01-25,"Slow and steady, but Bernstein says its top Internet pick can win race"
2022-01-23,"Netflix, Disney programs lead streaming attention for 2021"
2022-01-22,"Peloton's collapse spins up Apple, Nike, Amazon acquisition chatter"
2022-01-21,1Life Healthcare defended at Citi; says Humana-led selloff is overdone
2022-01-21,"With Netflix returning to earth, can streaming rivals make gains?"
2022-01-21,"Apple, Microsoft are 'Rock of Gibraltar names' that will save tech - Wedbush analyst Dan Ives"
2022-01-20,"Amazon to open first clothing store later 2022 in Glendale, California: CNBC"
2022-01-19,Retail giants turns to automated warehouse concepts with labor availability still a struggle
2022-01-19,Sony stock likely to trade sideways despite strong expectations - UBS
2022-01-19,"Amazon, Sony 'most likely' to do video game deals in wake of recent M&A"
2022-01-18,Microsoft pursues biggest purchase ever in Activision. Which videogame player could be next? (updated)
2022-01-18,Microsoft deal with Activision came about late last year
2022-01-16,Gaming again takes TV share from broadcast in Nielsen's Gauge
2022-01-14,"Apple buying sports content 'the right move at [the] right time,' Wedbush says"
2022-01-13,Amazon and TikTok will be big winners in ad market share - Cowen analyst
2022-12-01,Amazon workers in Alabama get another chance at unionizing
2022-10-01,Apple in talks to cover Major League Baseball - report
2022-10-01,"Amazon is top 'FANG' stock at BofA, as headwinds should ease in 2022"
2022-10-01,"Disney debuts on Credit Suisse 'Top of the Crop' list, Amazon returns: At the Open"
2022-10-01,Business disruptions continue with 5M Americans expected to call in sick
2022-09-01,Jefferies' 2022 Internet picks range from social-media king to ad-tech's potential doubler
2022-07-01,Amazon cuts paid leave in half following new CDC guidelines
2022-07-01,Visa stock slips after Mizuho downgrades on shift in key revenue driver
2022-06-01,Retail sales wrap up 2021 on a high note following robust holiday season
2022-06-01,Lost in Space' maintains Netflix's streaming lead while rivals make movie moves
2022-06-01,Retailers hope to protect margins from holiday return season
2022-05-01,Datadog shares rise 3.5% postmarket on global strategic tie-up with Amazon Web Services
2022-05-01,"Amazon sells 150 millionth Fire TV device, sets auto integration deals"
2022-05-01,"AT&T higher as Stankey touts strength in HBO and fiber, and Discovery deal moves on"
2022-05-01,Amazon technology is set to power millions of Stellantis vehicles in 2024
2022-05-01,"Amazon, Cisco and Lockheed Martin partner on commtech for NASA's Artemis mission"
2022-05-01,iPower shares jump 11% premarket on first hydroponic equipment order for Europe
2022-05-01,CES 2022: What to expect at the Consumer Electronics Show
2022-03-01,"CES set to continue, despite rise in COVID-19 cases across the country"
2022-03-01,"Amazon, Netflix among Monness, Crespi's top 2022 Internet picks"
2022-02-01,"SA readers go into 2022 collecting megacaps, BRZE and a new cannabis play; drop DIDI"
2022-01-01,Tech Roundup: The Internet stock outlook for 2022 leads a quiet last week of 2021
2021-12-30,"Advanced Micro Devices, P&G latest to pull out of CES as COVID-19 cases surge"
2021-12-29,"Amazon, Facebook's Meta named top Internet picks by Baird for 2022"
2021-12-28,"Amazon, Meta and Uber listed among top tech picks for 2022 at Evercore"
2021-12-27,Brace yourself for Big Tech correction in early 2022 - Loup Ventures' Gene Munster
2021-12-27,Amazon set to be huge beneficiary from accelerated digital transformation
2021-12-26,"Holiday retail sales shine in 2021, as shoppers return to stores and shop early"
2021-12-24,Will Apple or Microsoft hit $3 trillion next year? 10 tech predictions for 2022
2021-12-22,Amazon AWS business is said to see antitrust scrutiny from FTC head Khan
2021-12-22,"Amazon seen as more trustworthy than Apple, WaPo survey finds"
2021-12-22,"Amazon, Meta, Twitter among firms to scrap in-person plans for CES"
2021-12-21,"Matterport, Jabil gain after CNBC commentators long pitches"
2021-12-21,Amazon unveils plans to create new jobs at Austin and Phoenix Tech Hub
2021-12-20,Streaming media: Wells Fargo pits bulls against bears to find picks
2021-12-19,Broadcast TV share flags as gaming makes gains in Nielsen TV Gauge
2021-12-15,"Amazon, Meta, Netflix among top internet stocks at J.P. Morgan for 2022"
2021-12-14,Big movies muscle out TV in new weekly streaming ratings
2021-12-14,"Rivian and Amazon steer toward a symbiotic relationship across ESG, autonomy and final mile deliveries"
2021-12-14,"Affirm Holdings stock slides after Mizuho pares Buy Now, Pay Later price targets"
2021-12-12,"SiriusXM is said to hire Disney+ executive as chief product, technology officer"
2021-12-12,Ad-supported streaming takes share spotlight from subscription services - report
2021-12-12,Six Amazon warehouse workers confirmed dead after tornado strike
2021-10-12,"Amazon shutting down Alexa.com good for Similarweb, JPM argues"
2021-09-12,Amazon fined $1.3 billion for abusing online market power in Italy
2021-08-12,Bernstein picks likely winners in tackling metaverse debate
2021-08-12,"Amazon accused of 'unlawful deception' with ads in search results, complaint to FTC says"
2021-07-12,Amazon vans are sitting idle amid extensive AWS outage
2021-07-12,"Amazon AWS outage impacts Amazon, Disney+, other services"
2021-03-12,Charlie Munger believes Costco's 12% e-commerce sales growth could threaten Amazon
2021-02-12,"The Harder They Fall,' 'Seinfeld' pace Netflix to streaming wins"
2021-01-12,"Matterport surges 12%, says its platform will be available on AWS Marketplace"
2021-01-12,Amazon announces further expansion into low-carbon energy
2021-11-30,Goldman Sachs introduces Amazon-backed cloud computing service: CNBC
2021-11-30,Nasdaq teams up with Amazon Web Services to transform capital market infrastructure
2021-11-29,"FTC asks Amazon, Walmart, others for information about supply-chain issues"
2021-11-29,"Amazon set to become largest U.S. delivery service by early 2022, surpassing FedEx and UPS - exec"
2021-11-29,Retail stocks poised for Cyber Monday bounce with holiday forecast still looking strong
2021-11-28,Black Friday sales growth reverses for first time - Adobe Analytics
2021-11-26,"Catalyst watch for next week: Amazon event, Glencore update and key OPEC meeting"
2021-11-26,HubSpot gains after report Amazon internally pitched buying the company
2021-11-24,Holiday card spending off to a healthy start in all sectors - Bank of America
2021-11-24,Dan Loeb's Third Point reportedly makes $300M on Rivian IPO
2021-11-24,"Big Tech still looks underowned, Morgan Stanley sees in active/passive holdings probe"
2021-11-24,How much are Americans spending on Thanksgiving shopping?
2021-11-23,"Hims & Hers Health multi-day slide continues, hits 52-week low"
2021-11-22,Big unions urge FTC to reject Amazon's $8.5 billion MGM purchase
2021-11-21,"Hedge funds trim Amazon, Facebook stakes; jump into Robinhood, Blend Labs in Q3"
2021-11-21,Broadcast pulls even with streaming share in Nielsen TV Gauge
2021-11-20,Black Friday & Cyber Monday ETFs to watch
2021-11-19,QQQ hits intraday record high as techs rally amid weakening Treasury yields
2021-11-19,"Google, Oracle to join Amazon and Microsoft on Pentagon cloud bids"
2021-11-18,Faith Investor Services hopes thou shalt buy its new Christian-values ETF PRAY
2021-11-17,Amazon considers switching co-brand card from Visa to Mastercard - Bloomberg
2021-11-17,"Visa defended by Barclays, Morgan Stanley after Amazon U.K. move"
2021-11-17,Amazon to stop accepting Visa credit cards issued in U.K. next year (updated)
2021-11-16,"Lone Pine adds Bilibili Class Z, exits Global Payments, stakes grown in Meta Platforms"
2021-11-16,Rivian races to another new high as Amazon and Ford sit on big gains
2021-11-15,"Tiger Global Management takes new stakes in Blend Labs, Warby Parker"
2021-11-13,Amazon workers in New York withdraw petition for union vote - AP
2021-11-13,UBS taps 30 stocks for 2030 in disruptor sectors: Alpha Tactics
2021-12-11,Rivian Automotive races to a new high as stakes increase on hitting 2030 targets
2021-11-11,Backblaze soars nearly 40% intraday following cloud-storage firm?s IPO (update)
2021-11-11,Netflix's 'Squid Game' tops streaming boards for fourth week
2021-11-11,"Retail picks for Q3 earnings have Evercore bullish on sales, fretting on margins"
2021-10-11,"Affirm Holdings stock bounces up 25% on expanded Amazon pact, strong guidance"
2021-10-11,U.S. officials raise question of security risks in E.U. tech regulations--report
2021-10-11,Amazon considers rename for ad-supported IMDb TV - report
2021-10-11,Rivian Automotive stuns as it starts trading with 37% jump over IPO pricing level and +$90B stock valuation
2021-10-11,VanEck launches new smart-home ETF in London
2021-10-11,Rivian CEO: IPO provides opportunity to accelerate scale
2021-10-11,Carlyle's David Rubenstein: GE didn't make changes quickly enough
2021-10-11,Starbucks readies for battle as union vote begins in Buffalo
2021-09-11,Amazon is said in talks to settle EU antitrust investigations - Reuters
2021-07-11,"Klobuchar, Cotton introduce bill to rein in on big tech M&A"
2021-05-11,"Holiday consumers plan to spend big at Amazon and TJ Maxx, curb purchases at Best Buy - Citi"
2021-04-11,"Satori's Dan Niles: Apple is the most overpriced tech stock, prefers Google and Facebook"
2021-04-11,Fastly gains more ground in wake of upbeat report and forecast
2021-04-11,"Google pursuing Pentagon's large cloud contract, signs deal with CME"
2021-03-11,Fastly shares climb 5% on strong revenue report and outlook
2021-03-11,"1Life Healthcare EPS misses by $0.14, beats on revenue"
2021-02-11,1Life Healthcare Q3 2021 Earnings Preview
2021-02-11,Mack-Cali stock gains after Amazon reportedly near deal for Jersey City space
2021-02-11,What to know about the Rivian Automotive IPO
2021-01-11,"Rivian aims to be valued higher than Honda, Ferrari and Stellantis with +$60B cap"
2021-01-11,Amazon says first Project Kuiper Internet satellites to launch in late 2022
2021-01-11,Three 'diversified' ETFs that actually have 40% of their holdings in a handful of stocks
2021-01-11,Apple's iPad adds to company's lead in worldwide tablet market
2021-10-30,"Did Tesla, Hertz and Uber just jumpstart the trillion dollar robotaxi industry?"
2021-10-30,"Tech Roundup: Facebook goes 'Meta', Microsoft takes Apple's crown, and an introduction to RightForge"
2021-10-30,"FAANG may change, but Jefferies already has a broader Sweet 16: Alpha Tactics"
2021-10-29,Netflix's 'Squid Game' joins small club streaming 3 billion minutes in a week
2021-10-29,Standout stocks that broke their earnings streaks this week
2021-10-29,Consistency will define the stock market in 2022 as fundamentals take over - BMO analyst
2021-10-29,Amazon discloses stake in Rivian as electric truck race takes a new turn
2021-10-29,"Roku, Amazon set up for battle over viewers' streaming data - report"
2021-10-29,"Hot Stocks: AAPL, AMZN, SBUX drop on quarterly reports; CVX, XOM rise"
2021-10-28,Amazon falls after warning on billions in extra costs in holiday quarter
2021-10-28,"Amazon EPS of $6.12 misses by $2.81, misses on revenue; Q4 guidance disappoints"
2021-10-27,"Oprah Winfrey-backed Oatly hits post-IPO low, and so does Jessica Alba?s Honest Company"
2021-10-27,Is Amazon's Q3 set for a tumble ahead of 2021 holiday season?
2021-10-27,Retail rejoicing with holiday sales forecast to hit record high on strong growth rate
2021-10-27,"Affirm stock climbs 6% after pact with American Airlines for 'Buy Now, Pay Later' service"
2021-10-26,Verizon teams up with Amazon's Kuiper initiative to develop connectivity in remote areas
2021-10-25,"Tesla reached a tipping point with Hertz deal, $1T market cap - Wedbush analyst"
2021-10-25,Thrasio raises $1B in new funding round led by Silver Lake
2021-10-22,"Catalyst watch for next week: Tech giants report, eyes on Digital World Acquisition, events for Datadog, Facebook & HPE"
2021-10-21,"Facebook, Google slip after Apple iOS changes leave a mark on Snap (updated)"
2021-10-21,Trump SPAC: Ex-president?s new firm aims to take on all of Big Tech and Big Media at once (update)
2021-10-21,"Squid Game' splashes for Netflix atop streaming ratings, hitting 1.9B minutes"
2021-10-21,"Square, PayPal, other tech giants to reveal payment platform info to CFPB"
2021-10-21,"Trump plots return to social media ring with Truth Social, but can it stay online?"
2021-10-21,Trump launches social media company via SPAC; DWAC surges 70%
2021-10-20,Adobe forecasts online sales will rise 10% this holiday season
2021-10-19,Starbucks and Amazon are reported to have held talks on lounge concept
2021-10-19,"Latam banking, payments platform Pismo raises $108M in series B round"
2021-10-18,"Amazon to hire 150,000 seasonal employees across the U.S. for upcoming holiday season"
2021-10-18,Hollywood shutdown averted as crews union reaches deal with studios
2021-10-16,What's next for movies: Morgan Stanley does a cinema sweep
2021-10-15,Final 'Lucifer' season marks streaming hit for Netflix
2021-10-15,Grocery store sales come in strong for September
2021-10-14,"Klobuchar, Grassley, put Big Tech in sights with new Senate antitrust bill"
2021-10-14,Holiday shopping season kicks off early amid supply chain challenges
2021-10-13,"BofA lists Amazon, JD.com and Walmart among top e-commerce picks"
2021-10-13,"Amazon in the market for long-range cargo jets, sources say"
2021-10-13,"Rivian attracts attention from Amazon, Blue Origin and Ford as IPO nears"
2021-10-13,"Nike, Lululemon, Poshmark and RealReal are standouts in Cowen's Gen Z/Millennials Survey"
2021-12-10,Tests above Tel Aviv! Israel moves ahead with national drone network
2021-11-10,Amazon CEO Jassy revises company's return-to-office guidelines
2021-11-10,"Billionaire investor Bill Miller likens bitcoin to digital gold, saying it's less risky"
2021-08-10,"Holdout Ireland agrees to global minimum tax deal, Estonia joins too"
2021-07-10,"Microsoft, Amazon, Alphabet are reclaiming bullish technical levels"
2021-06-10,Amazon's Twitch confirms massive data breach
2021-06-10,Amazon opens first bricks-and-mortar non-food store in U.K.
2021-05-10,Chart Talk: Megacaps get close to correction territory
2021-05-10,Amazon is still an attractive long-term growth pick at JPMorgan
2021-04-10,"Twitter, Amazon, T-Mobile join Facebook with reports of service down"
2021-04-10,"Amazon, Etsy and Farfetch tipped to benefit from supply chain turmoil; ContextLogic in harm's way"
2021-04-10,Amazon's Black Friday deals start today
2021-03-10,"Clickbait' leads streaming ratings for Netflix, but Hulu makes a dent"
2021-09-30,"New Gen Z ETF will focus on innovation, disruption and ethical values"
